target_point;heading;velocity;acceleration;stay_point
yes;-3.13244;-1.23883;-0.318703;yes
no;-3.53993;-1.14188;-0.304013;no
no;-3.27709;-1.22753;-0.319523;no
no;-6.05492;1.20675;0.304827;no
no;-6.31244;1.23835;0.319573;no
no;-4.81988;0.132914;0.008504;no
no;-1.63211;-0.075911;0.006272;no
no;-2.8771;-2.29811;-0.299033;yes
no;-3.40136;-2.30103;-0.315899;no
no;-3.18512;-2.37865;-0.319498;no
yes;-6.22729;2.37719;0.316143;no
no;-6.43977;2.35178;0.319479;no
no;-1.65078;-0.190228;0.006248;no
no;-4.83358;0.287832;0.006937;no
yes;-3.04663;-1.1578;-0.318584;yes
no;-3.46165;-1.10397;-0.303661;no
no;-3.19507;-1.16138;-0.319527;no
no;-5.9701;1.1065;0.304529;no
no;-6.23124;1.16147;0.319582;no
no;-4.73825;0.030072;0.008553;no
no;-1.55062;0.023458;0.006175;no
no;-2.9237;-2.31957;-0.305842;yes
no;-3.38157;-2.30766;-0.315948;no
no;-3.16375;-2.37516;-0.319452;no
yes;-6.20936;2.36927;0.316187;no
no;-6.42346;2.35241;0.319432;no
no;-1.63254;-0.146601;0.006059;no
no;-4.8142;0.241456;0.00676;no
yes;-3.04377;-1.20208;-0.318511;yes
no;-3.46299;-1.14601;-0.303479;no
no;-3.19337;-1.20624;-0.319548;no
no;-5.96776;1.14826;0.304344;no
no;-6.23196;1.20627;0.319602;no
no;-4.73724;0.030015;0.008379;no
no;-1.55075;0.024208;0.005986;no
no;-2.91504;-2.19555;-0.308832;yes
no;-3.33975;-2.20903;-0.315925;no
no;-3.11954;-2.25258;-0.319415;no
yes;-6.16666;2.23785;0.316167;no
no;-6.38308;2.24189;0.319395;no
no;-1.59026;-0.043857;0.006061;no
no;-4.77192;0.13406;0.00676;no
yes;-3.01556;-1.23702;-0.318648;yes
no;-3.43299;-1.19435;-0.303198;no
no;-3.16031;-1.2467;-0.319553;no
no;-5.93236;1.17097;0.304083;no
no;-6.1995;1.24255;0.319606;no
no;-4.70459;-0.00973;0.008413;no
no;-1.51799;0.065816;0.005987;no
no;-2.97443;-2.31228;-0.236292;yes
no;-3.3099;-2.31183;-0.236951;no
no;-3.08863;-2.34168;-0.23954;no
yes;-6.13766;2.32018;0.237146;no
no;-6.35508;2.33891;0.23952;no
no;-1.56077;0.023522;0.004518;no
no;-4.74256;0.070752;0.005131;no
yes;-2.92769;-1.2211;-0.239204;yes
no;-3.33842;-1.22545;-0.227097;no
no;-3.06244;-1.24566;-0.239656;no
no;-5.83055;1.12374;0.227807;no
no;-6.10086;1.22886;0.239701;no
no;-4.60637;-0.132226;0.006365;no
no;-1.4197;0.188093;0.004454;no
no;-3.02646;-2.19257;-0.23342;yes
no;-3.41882;-2.12291;-0.23702;no
no;-3.19469;-2.20407;-0.239468;no
yes;-6.25057;2.20601;0.237225;no
no;-6.47074;2.16847;0.239443;no
no;-1.67164;-0.222207;0.004485;no
no;-4.85353;0.310489;0.005185;no
yes;-2.85813;-1.1381;-0.239335;yes
no;-3.26634;-1.1762;-0.226745;no
no;-2.9863;-1.17115;-0.23965;no
no;-5.75;1.02086;0.227506;no
no;-6.02421;1.14588;0.2397;no
no;-4.53001;-0.215002;0.006418;no
no;-1.3433;0.267357;0.004409;no
no;-3.06826;-2.19237;-0.235021;yes
no;-3.42836;-2.1085;-0.23708;no
no;-3.20241;-2.19421;-0.239413;no
yes;-6.26315;2.19783;0.237278;no
no;-6.48528;2.15354;0.239386;no
no;-1.68378;-0.247837;0.004244;no
no;-4.86369;0.331325;0.004951;no
yes;-2.9379;-1.09975;-0.239382;yes
no;-3.34583;-1.09963;-0.226557;no
no;-3.06159;-1.11937;-0.239673;no
no;-5.82451;1.0069;0.227307;no
no;-6.10305;1.10479;0.23972;no
no;-4.60609;-0.119147;0.006172;no
no;-1.42141;0.167129;0.004167;no
no;-3.08777;-2.33548;-0.237756;yes
no;-3.38011;-2.27265;-0.2371;no
no;-3.15339;-2.33871;-0.23939;no
yes;-6.21708;2.33376;0.237336;no
no;-6.4399;2.31021;0.239346;no
no;-1.63635;-0.153219;0.004178;no
no;-4.81679;0.243743;0.005144;no
yes;-2.93567;-1.11174;-0.239542;yes
no;-3.33743;-1.11403;-0.226248;no
no;-3.04945;-1.13092;-0.239672;no
no;-5.80961;1.01074;0.227104;no
no;-6.0917;1.11498;0.239731;no
no;-4.59462;-0.133448;0.006364;no
no;-1.40954;0.182354;0.004072;no
no;-3.07559;-2.3619;-0.238356;yes
no;-3.34703;-2.31728;-0.237143;no
no;-3.11988;-2.3665;-0.239363;no
yes;-6.18319;2.35523;0.237266;no
no;-6.40847;2.3485;0.239337;no
no;-1.6137;-0.101526;0.001954;no
no;-4.77372;0.145089;0.002469;no
yes;-2.99107;-1.11555;-0.239535;yes
no;-3.39423;-1.09249;-0.226178;no
no;-3.10389;-1.1275;-0.23969;no
no;-5.85928;1.02844;0.226615;no
no;-6.14676;1.11782;0.239721;no
no;-4.63676;-0.085254;0.003059;no
no;-1.47453;0.108454;0.001894;no
no;-3.18263;-2.32812;-0.23932;yes
no;-3.41106;-2.24599;-0.237184;no
no;-3.18067;-2.3283;-0.239285;no
yes;-6.25362;2.32906;0.237453;no
no;-6.47999;2.2851;0.239219;no
no;-1.67019;-0.231206;0.004034;no
no;-4.85052;0.320839;0.005263;no
yes;-3.01731;-1.11158;-0.23978;yes
no;-3.40646;-1.08116;-0.225734;no
no;-3.11024;-1.11967;-0.239695;no
no;-5.86719;1.02468;0.226707;no
no;-6.15725;1.11135;0.239762;no
no;-4.65792;-0.060987;0.006519;no
no;-1.47293;0.109456;0.003895;no
no;-3.22436;-2.30525;-0.16184;yes
no;-3.41974;-2.22427;-0.160135;no
no;-3.1873;-2.31075;-0.161467;no
